Set Id (Dimension Set.Csv),Dim Name 1,Dim Value 1,Dim Name 2,Dim Value 2,Dim Name 3,Dim Value 3,Dim Name 4,Dim Value 4,Dim Name 5,Dim Value 5,Dim Name 6,Dim Value 6,Measure Id (Measure.Csv),Name,Description,Source Name,Value,Result Name,Set Id,Measure Id
8382,DX,365.82,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8382,17
8383,DX,V58.72,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8383,17
8384,DX,9953,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8384,17
8385,DX,366.5,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,60,name=COUNT,8385,17
8386,DX,797,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,23,name=COUNT,8386,17
8387,DX,820.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,10,name=COUNT,8387,17
8388,DX,V1201,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8388,17
8389,DX,245.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,99,name=COUNT,8389,17
8390,DX,3139,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,4,name=COUNT,8390,17
8391,DX,127.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8391,17
8392,DX,474.11,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,425,name=COUNT,8392,17
8393,DX,369.8,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,13,name=COUNT,8393,17
8394,DX,873.3,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,5,name=COUNT,8394,17
8395,DX,729.41,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8395,17
8396,DX,154.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,686,name=COUNT,8396,17
8397,DX,64863,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,6,name=COUNT,8397,17
8398,DX,E880.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,26,name=COUNT,8398,17
8399,DX,345.4,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,293,name=COUNT,8399,17
8400,DX,234.8,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8400,17
8401,DX,631,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,38,name=COUNT,8401,17
8402,DX,65613,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,24,name=COUNT,8402,17
8403,DX,707.8,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,260,name=COUNT,8403,17
8404,DX,802,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,181,name=COUNT,8404,17
8405,DX,385,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,5,name=COUNT,8405,17
8406,DX,8921,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,6,name=COUNT,8406,17
8407,DX,659.8,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8407,17
8408,DX,755.67,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,30,name=COUNT,8408,17
8409,DX,316,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,4,name=COUNT,8409,17
8410,DX,984.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,205,name=COUNT,8410,17
8411,DX,V71.01,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8411,17
8412,DX,942.22,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,30,name=COUNT,8412,17
8413,DX,E92.41,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8413,17
8414,DX,V45.01,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,565,name=COUNT,8414,17
8415,DX,803.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8415,17
8416,DX,265,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8416,17
8417,DX,73381,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8417,17
8418,DX,3343,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8418,17
8419,DX,919.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,33,name=COUNT,8419,17
8420,DX,282.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8420,17
8421,DX,905,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,7,name=COUNT,8421,17
8422,DX,71514,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8422,17
8423,DX,807.08,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8423,17
8424,DX,820.32,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,4,name=COUNT,8424,17
8425,DX,656.4,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,20,name=COUNT,8425,17
8426,DX,696.4,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8426,17
8427,DX,753.21,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,35,name=COUNT,8427,17
8428,DX,25071,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,12,name=COUNT,8428,17
8429,DX,296.53,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,721,name=COUNT,8429,17
8430,DX,87360,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8430,17
8431,DX,30,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8431,17
8432,DX,473,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8432,17
8433,DX,824,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,69,name=COUNT,8433,17
8434,DX,521.3,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8434,17
8435,DX,958.93,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8435,17
8436,DX,242.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,35,name=COUNT,8436,17
8437,DX,E935.7,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8437,17
8438,DX,372.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,24,name=COUNT,8438,17
8439,DX,726,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8439,17
8440,DX,30591,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8440,17
8441,DX,735,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8441,17
8442,DX,369.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,5,name=COUNT,8442,17
8443,DX,533.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8443,17
8444,DX,7541,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8444,17
8445,DX,851.86,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,49,name=COUNT,8445,17
8446,DX,7533,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,9,name=COUNT,8446,17
8447,DX,763.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8447,17
8448,DX,6803,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8448,17
8449,DX,273.4,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,111,name=COUNT,8449,17
8450,DX,9243,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,17,name=COUNT,8450,17
8451,DX,E922.4,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8451,17
8452,DX,V72.2,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,12,name=COUNT,8452,17
8453,DX,737.31,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,226,name=COUNT,8453,17
8454,DX,379,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,13,name=COUNT,8454,17
8455,DX,7470,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,69,name=COUNT,8455,17
8456,DX,823.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8456,17
8457,DX,312.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,5,name=COUNT,8457,17
8458,DX,V11.0,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,43,name=COUNT,8458,17
8459,DX,486,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,"2,478.00",name=COUNT,8459,17
8460,DX,64822,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,6,name=COUNT,8460,17
8461,DX,754.89,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,347,name=COUNT,8461,17
8462,DX,755.52,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,1,name=COUNT,8462,17
8463,DX,8.62,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,6,name=COUNT,8463,17
8464,DX,736.75,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,6,name=COUNT,8464,17
8465,DX,997.02,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,3,name=COUNT,8465,17
8466,DX,173.7,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,21,name=COUNT,8466,17
8467,DX,307.22,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,12,name=COUNT,8467,17
8468,DX,366.17,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,533,name=COUNT,8468,17
8469,DX,254.9,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8469,17
8470,DX,286.1,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,29,name=COUNT,8470,17
8471,DX,78969,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8471,17
8472,DX,671.11,null,null,null,null,null,null,null,null,null,null,17,dia_l1_dx.sas7bdat,null,100K,2,name=COUNT,8472,17
